"","studentDist","studentTime","leader","ClustAlg","Catchment"
"5760",156,3.43,FALSE,"Fuzzy",48
"5761",1094,23.17,TRUE,"kNN",49
"5762",1023,21.4,FALSE,"kNN",49
"5763",642,12.82,FALSE,"kNN",49
"5764",555,11.15,FALSE,"kNN",49
"5765",1574,32.38,TRUE,"kNN",49
"5766",1548,31.78,FALSE,"kNN",49
"5767",1232,24.63,FALSE,"kNN",49
"5768",967,19.3,FALSE,"kNN",49
"5769",869,17.13,FALSE,"kNN",49
"5770",745,14.87,FALSE,"kNN",49
"5771",1404,30.27,TRUE,"kNN",49
"5772",1025,21.63,FALSE,"kNN",49
"5773",702,14.55,FALSE,"kNN",49
"5774",664,13.72,FALSE,"kNN",49
"5775",322,6.88,FALSE,"kNN",49
"5776",394,8.87,TRUE,"kNN",49
"5777",460,10.42,TRUE,"kNN",49
"5778",328,7.3,TRUE,"kNN",49
"5779",245,5.23,FALSE,"kNN",49
"5780",410,9.68,TRUE,"kNN",49
"5781",336,7.92,FALSE,"kNN",49
"5782",550,12.68,TRUE,"kNN",49
"5783",491,11.43,FALSE,"kNN",49
"5784",647,14.73,TRUE,"kNN",49
"5785",592,13.57,FALSE,"kNN",49
"5786",584,13.38,FALSE,"kNN",49
"5787",530,12.2,FALSE,"kNN",49
"5788",807,17.63,TRUE,"kNN",49
"5789",752,16.25,FALSE,"kNN",49
"5790",579,12.67,FALSE,"kNN",49
"5791",1798,38.32,TRUE,"kMeans",49
"5792",1379,28.53,FALSE,"kMeans",49
"5793",1063,21.38,FALSE,"kMeans",49
"5794",2276,48.08,TRUE,"kMeans",49
"5795",601,13.75,FALSE,"kMeans",49
"5796",593,13.57,FALSE,"kMeans",49
"5797",1295,27.47,TRUE,"kMeans",49
"5798",565,13.05,FALSE,"kMeans",49
"5799",530,12.2,FALSE,"kMeans",49
"5800",2190,48.93,TRUE,"kMeans",49
"5801",1421,30.6,FALSE,"kMeans",49
"5802",1354,28.93,FALSE,"kMeans",49
"5803",972,20.35,FALSE,"kMeans",49
"5804",2024,43.98,TRUE,"kMeans",49
"5805",966,19.3,FALSE,"kMeans",49
"5806",868,17.13,FALSE,"kMeans",49
"5807",1598,35.65,TRUE,"kMeans",49
"5808",895,19.82,FALSE,"kMeans",49
"5809",751,16.23,FALSE,"kMeans",49
"5810",410,9.68,TRUE,"kMeans",49
"5811",336,7.92,FALSE,"kMeans",49
"5812",1571,35.4,TRUE,"kMeans",49
"5813",896,19.23,FALSE,"kMeans",49
"5814",566,11.65,FALSE,"kMeans",49
"5815",259,4.9,FALSE,"kMeans",49
"5816",867,19.55,TRUE,"kMeans",49
"5817",437,9.7,FALSE,"kMeans",49
"5818",322,6.88,FALSE,"kMeans",49
"5819",2073,44.5,TRUE,"kMeans",49
"5820",745,14.87,FALSE,"kMeans",49
"5821",1043,22.12,TRUE,"Hier",49
"5822",972,20.35,FALSE,"Hier",49
"5823",1405,29.13,TRUE,"Hier",49
"5824",1379,28.53,FALSE,"Hier",49
"5825",1063,21.38,FALSE,"Hier",49
"5826",1058,22.6,TRUE,"Hier",49
